City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port elizabeth,-33.918,25.5701,19.5,85,0,9.26,ZA,1680547076
84,puerto ayora,-0.7393,-90.3518,30.98,86,100,2.68,EC,1680546952
85,russell,32.3502,-85.1999,16.6,94,75,2.06,US,1680547082
86,port hawkesbury,45.6169,-61.3485,4.95,48,0,8.75,CA,1680546890
87,saint-pierre,-21.3393,55.4781,23.82,83,0,2.06,RE,1680547084
88,sungaipenuh,-2.0833,101.3833,17.04,96,89,0.54,ID,1680547085
89,hermanus,-34.4187,19.2345,14.89,82,34,1.81,ZA,1680547087
90,marawi,7.9986,124.2928,19.66,96,30,0.49,PH,1680547088
91,kartaly,53.0522,60.6467,1.68,78,73,2.24,RU,1680547089
92,ponta do sol,32.6667,-17.1,20.07,61,63,3.72,PT,1680547091
93,margate,51.3813,1.3862,7.72,57,2,1.79,GB,1680546530
94,aklavik,68.2191,-135.0107,-11.91,86,91,0.94,CA,1680547098
95,mount isa,-20.7333,139.5,20.87,32,44,2.06,AU,1680547099
96,acajutla,13.5928,-89.8275,30.44,55,68,4.89,SV,1680547102
97,port hardy,50.6996,-127.4199,7.1,70,75,1.54,CA,1680547103
98,deming,32.2687,-107.7586,22.94,7,0,6.69,US,1680546951
99,san vicente,-26.6167,-54.1333,30.35,28,5,1.69,AR,1680547105
100,padang,-0.9492,100.3543,24.85,86,100,1.11,ID,1680547107
101,lorengau,-2.0226,147.2712,26.53,79,100,0.83,PG,1680547108
102,novyy urgal,51.0736,132.5642,-0.09,70,100,3.53,RU,1680547109
103,nouadhibou,20.931,-17.0347,25.99,50,7,5.14,MR,1680546857
104,upernavik,72.7868,-56.1549,-23.57,92,80,1.41,GL,1680547111
105,hasaki,35.7333,140.8333,7.34,54,0,5.39,JP,1680547112
106,jamestown,42.097,-79.2353,16.8,41,0,5.14,US,1680546721
107,torres,-29.3353,-49.7269,31.57,60,4,4.09,BR,1680546571
108,lavrentiya,65.5833,-171.0,-15.18,93,98,3.22,RU,1680547116
109,meulaboh,4.1363,96.1285,24.65,87,83,1.46,ID,1680547117
110,cape town,-33.9258,18.4232,17.84,83,0,2.57,ZA,1680546885
111,kyra,49.5776,111.9753,-13.74,78,2,1.98,RU,1680547119
112,dwarka,22.2394,68.9678,25.07,82,3,5.29,IN,1680547121
113,mandalgovi,45.7625,106.2708,-10.02,62,99,4.03,MN,1680547123
114,mahon,39.8885,4.2658,13.31,67,20,5.14,ES,1680547124
115,cidreira,-30.1811,-50.2056,23.55,63,40,5.42,BR,1680547125
116,coihaique,-45.5752,-72.0662,15.34,58,75,2.06,CL,1680546843
117,faanui,-16.4833,-151.75,27.71,70,32,2.25,PF,1680547127
118,bonnyville,54.2668,-110.735,-2.38,87,100,3.61,CA,1680546901
119,luwingu,-10.2621,29.9271,16.05,97,76,1.27,ZM,1680547129
120,kodiak,57.79,-152.4072,0.73,93,100,2.57,US,1680547131
121,fortuna,40.5982,-124.1573,7.77,80,77,0.45,US,1680547134
122,wyndham,37.6985,-77.6125,23.23,43,0,6.69,US,1680547135
123,diapaga,12.0708,1.7889,33.06,8,21,2.41,BF,1680547137
124,lamont,35.2597,-118.9143,11.15,54,83,9.05,US,1680547139
125,axim,4.8699,-2.2405,27.45,81,34,3.37,GH,1680547140
126,ambilobe,-13.2,49.05,23.14,96,94,1.4,MG,1680547141
127,ribeira grande,38.5167,-28.7,16.54,67,20,6.17,PT,1680547143
128,ryotsu,38.0833,138.4333,8.44,73,0,1.22,JP,1680547144
129,taltal,-25.4,-70.4833,22.18,81,51,1.39,CL,1680546914
130,ossora,59.2353,163.0719,-9.38,96,90,2.3,RU,1680547147
131,richards bay,-28.783,32.0377,24.16,82,97,7.31,ZA,1680547148
132,longyearbyen,78.2186,15.6401,-12.09,79,75,9.77,SJ,1680547023
133,prudentopolis,-25.2131,-50.9778,27.49,42,17,1.85,BR,1680547150
134,jacareacanga,-6.2222,-57.7528,26.31,75,100,0.98,BR,1680547152
135,benguela,-12.5763,13.4055,26.8,81,98,0.69,AO,1680547153
136,pangnirtung,66.1451,-65.7125,-16.0,78,20,2.57,CA,1680547154
137,ilulissat,69.2167,-51.1,-7.99,53,20,8.75,GL,1680547155
138,vardo,70.3705,31.1107,-2.01,80,99,15.43,NO,1680547161
139,severo-kurilsk,50.6789,156.125,-0.09,94,69,5.73,RU,1680547163
140,tigil,57.8,158.6667,-9.52,94,100,1.07,RU,1680547164
141,staraya poltavka,50.4772,46.4814,12.89,50,100,2.45,RU,1680547165
